method,n,task_success,force_violation_rate,damage_rate,latent_force_accuracy,stale_memory_false_positive,missed_memory_false_negative,force_risk_ece,planning_cost,planning_regret_to_oracle,robust_utility,probe_intervention_rate,deployment_coverage
active_tactile_probe_then_plan,11520,0.547049,0.310851,0.171788,0.624653,0.037240,0.165451,0.037103,0.509062,0.260589,-0.111254,0.197250,0.000000
adaptive_impedance_mpc,11520,0.453038,0.270226,0.141406,0.390972,0.059201,0.246875,0.029643,0.399143,0.346045,-0.100172,0.101850,0.000000
conformal_risk_filter,11520,0.312760,0.302170,0.161372,0.296181,0.055642,0.353038,0.013618,0.379813,0.489081,-0.305782,0.102750,0.000000
contact_mode_hmm_mpc,11520,0.470573,0.337240,0.190017,0.477344,0.064149,0.243663,0.035945,0.356632,0.337308,-0.213281,0.102150,0.000000
diffusion_policy_force_history,11520,0.324132,0.461198,0.297396,0.306337,0.084549,0.331771,0.042425,0.241492,0.489589,-0.616908,0.070350,0.000000
ensemble_uncertainty_mpc,11520,0.327691,0.391319,0.233594,0.337500,0.065278,0.331337,0.023100,0.294423,0.476116,-0.447516,0.090450,0.000000
force_history_behavior_cloning,11520,0.219184,0.522309,0.331858,0.197049,0.093056,0.378038,0.039199,0.150503,0.586278,-0.811629,0.064050,0.000000
observation_only_transformer,11520,0.123872,0.529080,0.347569,0.125174,0.072483,0.411719,0.030218,0.116102,0.682255,-0.944469,0.058050,0.000000
online_residual_system_id,11520,0.459722,0.350955,0.202604,0.416667,0.073264,0.239063,0.040001,0.360663,0.349706,-0.253064,0.095250,0.000000
oracle_latent_force_planner,11520,0.866667,0.162847,0.059722,0.799913,0.023264,0.082986,0.017971,0.309768,0.000443,0.574888,0.128100,0.000000
particle_filter_force_belief_mpc,11520,0.547049,0.303646,0.167014,0.569792,0.056944,0.200608,0.034053,0.435432,0.254497,-0.054961,0.114150,0.000000
proposed_force_memory_transformer_v4,11520,0.590538,0.327431,0.191753,0.587066,0.058333,0.184983,0.044620,0.357022,0.220670,-0.078630,0.132450,0.000000
recurrent_contact_policy,11520,0.298785,0.486285,0.317622,0.264236,0.097396,0.348438,0.047167,0.185843,0.512922,-0.681946,0.068850,0.000000
risk_calibrated_force_memory_transformer_v5,11520,0.739410,0.208247,0.090104,0.722309,0.026302,0.129167,0.017437,0.399642,0.076606,0.324387,0.155850,0.000000
robust_force_threshold_mpc,11520,0.277691,0.288108,0.148785,0.210851,0.061806,0.376128,0.017172,0.357243,0.527628,-0.306825,0.086850,0.000000
