baseline,units,success_delta_mean,success_delta_ci95,success_delta_lower95,utility_delta_mean,utility_delta_ci95,wins,decision
observation_only_transformer,480,0.615538,0.009581,0.605958,1.268856,0.002610,480,proposed_better
force_history_behavior_cloning,480,0.520226,0.010932,0.509294,1.136016,0.002344,480,proposed_better
recurrent_contact_policy,480,0.440625,0.011769,0.428856,1.006333,0.002022,480,proposed_better
diffusion_policy_force_history,480,0.415278,0.011858,0.403420,0.941295,0.001967,479,proposed_better
ensemble_uncertainty_mpc,480,0.411719,0.011629,0.400089,0.771903,0.001873,480,proposed_better
conformal_risk_filter,480,0.426649,0.011447,0.415202,0.630169,0.001838,479,proposed_better
robust_force_threshold_mpc,480,0.461719,0.012074,0.449644,0.631212,0.001754,480,proposed_better
online_residual_system_id,480,0.279687,0.012263,0.267424,0.577451,0.001522,461,proposed_better
adaptive_impedance_mpc,480,0.286372,0.012165,0.274207,0.424559,0.001508,464,proposed_better
contact_mode_hmm_mpc,480,0.268837,0.012018,0.256819,0.537668,0.001570,465,proposed_better
particle_filter_force_belief_mpc,480,0.192361,0.011792,0.180569,0.379348,0.001331,433,proposed_better
active_tactile_probe_then_plan,480,0.192361,0.012184,0.180177,0.435641,0.001274,426,proposed_better
proposed_force_memory_transformer_v4,480,0.148872,0.011389,0.137483,0.403018,0.001293,410,proposed_better
oracle_latent_force_planner,480,-0.127257,0.009920,-0.137177,-0.250501,0.001223,45,not_decisive
